[train: 1, 950 / 3750] FPS: 21.9 (23.2)  ,  DataTime: 0.589 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.731  ,  Loss/total: 1.65936  ,  Loss/giou: 0.38674  ,  Loss/l1: 0.04339  ,  Loss/location: 0.66894  ,  IoU: 0.66258
[train: 1, 1000 / 3750] FPS: 21.9 (21.1)  ,  DataTime: 0.589 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.731  ,  Loss/total: 1.64850  ,  Loss/giou: 0.38496  ,  Loss/l1: 0.04311  ,  Loss/location: 0.66301  ,  IoU: 0.66398
[train: 1, 1050 / 3750] FPS: 21.8 (21.5)  ,  DataTime: 0.590 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.732  ,  Loss/total: 1.63841  ,  Loss/giou: 0.38300  ,  Loss/l1: 0.04284  ,  Loss/location: 0.65821  ,  IoU: 0.66574
[train: 1, 1100 / 3750] FPS: 21.9 (24.4)  ,  DataTime: 0.589 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.732  ,  Loss/total: 1.62668  ,  Loss/giou: 0.38105  ,  Loss/l1: 0.04249  ,  Loss/location: 0.65213  ,  IoU: 0.66721
[train: 1, 1150 / 3750] FPS: 21.9 (21.1)  ,  DataTime: 0.589 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.732  ,  Loss/total: 1.61409  ,  Loss/giou: 0.37837  ,  Loss/l1: 0.04202  ,  Loss/location: 0.64723  ,  IoU: 0.66925
[train: 1, 1200 / 3750] FPS: 21.8 (21.5)  ,  DataTime: 0.590 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.60773  ,  Loss/giou: 0.37758  ,  Loss/l1: 0.04194  ,  Loss/location: 0.64288  ,  IoU: 0.66992
[train: 1, 1250 / 3750] FPS: 21.8 (25.6)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.60080  ,  Loss/giou: 0.37626  ,  Loss/l1: 0.04169  ,  Loss/location: 0.63981  ,  IoU: 0.67088
[train: 1, 1300 / 3750] FPS: 21.8 (24.6)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.732  ,  Loss/total: 1.59405  ,  Loss/giou: 0.37488  ,  Loss/l1: 0.04149  ,  Loss/location: 0.63683  ,  IoU: 0.67194
[train: 1, 1350 / 3750] FPS: 21.8 (18.9)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.732  ,  Loss/total: 1.58738  ,  Loss/giou: 0.37378  ,  Loss/l1: 0.04128  ,  Loss/location: 0.63342  ,  IoU: 0.67276
[train: 1, 1400 / 3750] FPS: 21.8 (24.9)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.732  ,  Loss/total: 1.58089  ,  Loss/giou: 0.37259  ,  Loss/l1: 0.04107  ,  Loss/location: 0.63035  ,  IoU: 0.67359
[train: 1, 1450 / 3750] FPS: 21.8 (25.3)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.57618  ,  Loss/giou: 0.37185  ,  Loss/l1: 0.04099  ,  Loss/location: 0.62753  ,  IoU: 0.67419
[train: 1, 1500 / 3750] FPS: 21.8 (20.2)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.56801  ,  Loss/giou: 0.37048  ,  Loss/l1: 0.04074  ,  Loss/location: 0.62334  ,  IoU: 0.67524
[train: 1, 1550 / 3750] FPS: 21.8 (24.9)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.56301  ,  Loss/giou: 0.36971  ,  Loss/l1: 0.04061  ,  Loss/location: 0.62055  ,  IoU: 0.67586
[train: 1, 1600 / 3750] FPS: 21.8 (20.2)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.55786  ,  Loss/giou: 0.36869  ,  Loss/l1: 0.04043  ,  Loss/location: 0.61830  ,  IoU: 0.67656
[train: 1, 1650 / 3750] FPS: 21.8 (23.2)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.55389  ,  Loss/giou: 0.36812  ,  Loss/l1: 0.04034  ,  Loss/location: 0.61597  ,  IoU: 0.67706
[train: 1, 1700 / 3750] FPS: 21.8 (19.4)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.54774  ,  Loss/giou: 0.36708  ,  Loss/l1: 0.04015  ,  Loss/location: 0.61283  ,  IoU: 0.67783
[train: 1, 1750 / 3750] FPS: 21.8 (19.5)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.54092  ,  Loss/giou: 0.36553  ,  Loss/l1: 0.03991  ,  Loss/location: 0.61028  ,  IoU: 0.67903
[train: 1, 1800 / 3750] FPS: 21.8 (17.6)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.53535  ,  Loss/giou: 0.36466  ,  Loss/l1: 0.03977  ,  Loss/location: 0.60717  ,  IoU: 0.67974
[train: 1, 1850 / 3750] FPS: 21.8 (18.8)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.52897  ,  Loss/giou: 0.36327  ,  Loss/l1: 0.03952  ,  Loss/location: 0.60482  ,  IoU: 0.68072
[train: 1, 1900 / 3750] FPS: 21.8 (19.8)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.52778  ,  Loss/giou: 0.36322  ,  Loss/l1: 0.03958  ,  Loss/location: 0.60346  ,  IoU: 0.68089
